model,model_name,seed,protocol,f1_score,convergence_success
enhanced,PASE-Net,0,LOSO,82.85769364250211,1
enhanced,PASE-Net,0,LORO,83.09193119265252,1
enhanced,PASE-Net,1,LOSO,82.85987894094755,1
enhanced,PASE-Net,1,LORO,83.15217356072006,1
enhanced,PASE-Net,2,LOSO,83.214283014732,1
enhanced,PASE-Net,2,LORO,82.97100603684342,1
enhanced,PASE-Net,3,LOSO,82.97617420099648,1
enhanced,PASE-Net,3,LORO,83.03168637344332,1
enhanced,PASE-Net,4,LOSO,82.9767492838084,1
enhanced,PASE-Net,4,LORO,82.8508053541587,1
cnn,CNN,0,LOSO,83.214283014732,1
cnn,CNN,0,LORO,83.03139779522341,1
cnn,CNN,1,LOSO,82.97674126154973,1
cnn,CNN,1,LORO,82.97115506461994,1
cnn,CNN,2,LOSO,83.09521649733912,1
cnn,CNN,2,LORO,62.78671320177966,1
cnn,CNN,3,LOSO,88.63094968139868,1
cnn,CNN,3,LORO,81.58213818324684,1
cnn,CNN,4,LOSO,82.97618237752935,1
cnn,CNN,4,LORO,87.85926452831072,1
bilstm,BiLSTM,0,LOSO,81.66655651178701,1
bilstm,BiLSTM,0,LORO,80.85287738247655,1
bilstm,BiLSTM,1,LOSO,81.18974730068959,1
bilstm,BiLSTM,1,LORO,81.5217334125784,1
bilstm,BiLSTM,2,LOSO,76.44868966399414,1
bilstm,BiLSTM,2,LORO,81.64355568590452,1
bilstm,BiLSTM,3,LOSO,81.67049044776402,1
bilstm,BiLSTM,3,LORO,79.23082587604763,1
bilstm,BiLSTM,4,LOSO,80.36396869665995,1
bilstm,BiLSTM,4,LORO,71.17065321263716,1
conformer,Conformer,0,LOSO,82.73807094064257,1
conformer,Conformer,0,LORO,81.52513574861133,1
conformer,Conformer,1,LOSO,12.610114394898137,0
conformer,Conformer,1,LORO,88.98893962058443,1
conformer,Conformer,2,LOSO,11.904761904761903,0
conformer,Conformer,2,LORO,87.75911761131245,1
conformer,Conformer,3,LOSO,82.49992417221591,1
conformer,Conformer,3,LORO,82.04803659635292,1
conformer,Conformer,4,LOSO,11.904761904761903,0
conformer,Conformer,4,LORO,80.27768216583407,1
